_weight,_likelihood,$\Omega_m\ \mathrm{Blinded}$,$w\ \mathrm{Blinded}$
2.00000,11.69406,0.39501,-1.11990
1.00000,11.91632,0.33750,-0.90040
1.00000,12.77493,0.43515,-1.13263
2.00000,12.83316,0.43369,-1.12217
1.00000,13.90904,0.33153,-0.80426
1.00000,14.18177,0.35433,-0.84080
1.00000,12.66044,0.45117,-1.23384
3.00000,11.84060,0.38198,-1.00028
2.00000,12.47707,0.29789,-0.86308
2.00000,12.74478,0.26858,-0.79202
3.00000,11.91387,0.33171,-0.89602
1.00000,12.06439,0.40606,-1.05993
1.00000,12.86603,0.38878,-0.96245
1.00000,13.48256,0.46069,-1.22495
1.00000,12.63272,0.37835,-1.13293
1.00000,12.62033,0.40281,-1.22196
3.00000,15.85617,0.36286,-1.17797
2.00000,15.33049,0.50382,-1.68640
2.00000,12.24499,0.33455,-0.86874
1.00000,11.98739,0.34269,-0.90080
3.00000,13.43653,0.22752,-0.72871
1.00000,14.10185,0.24307,-0.78989
1.00000,12.88977,0.41615,-1.04804
1.00000,13.84304,0.25276,-0.69517
2.00000,12.81875,0.27602,-0.82087
6.00000,11.94009,0.37240,-1.07058
1.00000,11.72840,0.39362,-1.12077
1.00000,11.66744,0.40030,-1.12966
2.00000,12.22535,0.44441,-1.29697
4.00000,12.41418,0.45224,-1.32522
2.00000,12.58886,0.45614,-1.36342
2.00000,12.22219,0.42256,-1.11454
1.00000,12.32543,0.31452,-0.90471
1.00000,12.26985,0.30507,-0.86810
4.00000,12.17284,0.31039,-0.87569
2.00000,11.85965,0.40834,-1.18242
2.00000,12.36557,0.31145,-0.89777
5.00000,11.65556,0.38883,-1.04338
3.00000,12.35724,0.34621,-0.88403
2.00000,15.29569,0.23994,-0.80997
1.00000,12.65285,0.27141,-0.77437
1.00000,12.97962,0.25424,-0.73446
3.00000,12.89693,0.26207,-0.78568
1.00000,13.36526,0.32938,-0.99603
2.00000,13.85831,0.32561,-0.99934
2.00000,14.79141,0.33992,-1.07000
1.00000,13.00606,0.32077,-0.95707
3.00000,11.66033,0.38709,-1.03693
1.00000,11.66596,0.38127,-1.01870
1.00000,12.41817,0.43994,-1.18655
5.00000,12.20647,0.43801,-1.20059
3.00000,13.14980,0.31958,-0.95874
1.00000,12.09371,0.39420,-1.01743
1.00000,13.31017,0.43563,-1.10496
2.00000,14.02265,0.41612,-1.00375
2.00000,14.53713,0.33277,-1.04009
1.00000,14.34828,0.36887,-1.16104
4.00000,13.74557,0.20088,-0.68064
3.00000,12.34062,0.29374,-0.83138
1.00000,11.76497,0.36002,-1.00978
3.00000,12.01637,0.32005,-0.88777
5.00000,11.98157,0.32452,-0.88069
2.00000,13.34085,0.40731,-1.27500
1.00000,13.82675,0.48721,-1.47094
3.00000,14.10538,0.49200,-1.51129
5.00000,13.21073,0.34418,-1.03819
8.00000,12.25769,0.43435,-1.29773
6.00000,11.58796,0.38322,-1.04696
3.00000,12.06817,0.33862,-0.88746
3.00000,13.00358,0.39752,-0.98210
3.00000,12.68529,0.37237,-0.92702
2.00000,11.75871,0.36197,-1.01608
1.00000,12.41843,0.37667,-0.94954
2.00000,13.12781,0.33822,-0.83843
5.00000,12.03070,0.35700,-1.02445
1.00000,12.01119,0.32154,-0.89482
3.00000,12.25652,0.30875,-0.87983
1.00000,11.71137,0.39400,-1.05193
3.00000,11.67103,0.40663,-1.11364
1.00000,11.59432,0.39248,-1.07614
1.00000,11.68145,0.39333,-1.11268
1.00000,12.67520,0.27385,-0.76997
1.00000,13.40371,0.27950,-0.73954
2.00000,11.88749,0.33301,-0.90268
4.00000,11.92451,0.33245,-0.89427
1.00000,11.61520,0.37046,-1.01578
11.00000,13.15630,0.40803,-1.00863
7.00000,11.80665,0.40380,-1.07590
2.00000,12.16891,0.30639,-0.85237
4.00000,12.35591,0.29948,-0.85767
3.00000,11.61264,0.37168,-1.02083
6.00000,12.17439,0.32302,-0.85586
4.00000,11.92953,0.41580,-1.11243
3.00000,11.90956,0.40240,-1.05967
3.00000,12.15024,0.37450,-0.95814
1.00000,14.00382,0.43477,-1.07149
2.00000,15.83640,0.39709,-0.90120
3.00000,11.96319,0.37876,-0.98149
2.00000,11.62226,0.36858,-1.01024
3.00000,14.39945,0.49580,-1.47652
1.00000,14.63012,0.49548,-1.42580
2.00000,16.03722,0.51839,-1.63128
1.00000,14.04707,0.49110,-1.49538
6.00000,13.20012,0.43833,-1.38747
3.00000,13.13925,0.47039,-1.44248
4.00000,15.93473,0.51512,-1.70772
3.00000,15.40013,0.50194,-1.70061
1.00000,15.39216,0.49577,-1.70310
5.00000,15.15366,0.46272,-1.59200
1.00000,15.05917,0.46078,-1.57905
1.00000,13.30572,0.40538,-1.26578
2.00000,14.22716,0.38584,-1.22292
2.00000,14.44319,0.38850,-1.24057
2.00000,13.55914,0.36687,-1.12862
1.00000,13.11960,0.32595,-0.97698
1.00000,13.19229,0.36032,-1.09232
3.00000,12.08778,0.42084,-1.11880
3.00000,12.75965,0.46334,-1.34698
6.00000,11.97879,0.43058,-1.24716
9.00000,11.92551,0.36589,-1.04684
5.00000,14.31557,0.19992,-0.63257
4.00000,13.67854,0.27499,-0.85318
1.00000,13.46300,0.30379,-0.92328
6.00000,14.42375,0.41736,-0.99514
5.00000,14.04410,0.24072,-0.78307
1.00000,14.56577,0.25279,-0.82323
1.00000,15.64422,0.31914,-1.02201
1.00000,13.65662,0.32745,-0.99916
1.00000,14.10296,0.38263,-1.20615
4.00000,12.96425,0.46459,-1.30743
1.00000,11.82906,0.34333,-0.92008
2.00000,11.78020,0.34744,-0.93352
9.00000,12.13115,0.41144,-1.07514
8.00000,12.80396,0.42508,-1.31475
4.00000,12.39016,0.45117,-1.32331
4.00000,11.64246,0.37110,-0.99821
1.00000,13.85751,0.31634,-0.77988
2.00000,12.11780,0.43701,-1.27955
7.00000,11.82083,0.40015,-1.15296
3.00000,11.85436,0.34858,-0.92381
2.00000,11.80071,0.35597,-0.94300
2.00000,12.24523,0.40340,-1.03785
2.00000,14.50234,0.49532,-1.59387
4.00000,14.82788,0.50233,-1.51191
2.00000,11.98747,0.42425,-1.24039
6.00000,11.85133,0.35875,-1.01525
2.00000,12.79823,0.45317,-1.39653
8.00000,12.94741,0.46832,-1.36921
4.00000,12.93662,0.45639,-1.24158
1.00000,15.94737,0.37452,-1.22617
2.00000,15.36483,0.27198,-0.88539
1.00000,15.07552,0.27009,-0.87500
1.00000,15.67136,0.28523,-0.92519
3.00000,12.31642,0.32292,-0.93094
3.00000,12.49428,0.32020,-0.93276
2.00000,11.92903,0.36261,-0.94446
6.00000,12.32198,0.44236,-1.21410
8.00000,13.16883,0.44000,-1.13204
2.00000,12.91386,0.42787,-1.09224
8.00000,12.01102,0.32874,-0.87862
1.00000,13.10667,0.30557,-0.78476
2.00000,14.30643,0.30141,-0.74629
3.00000,13.27273,0.30110,-0.77276
11.00000,11.69902,0.36013,-0.99915
4.00000,14.66185,0.47330,-1.23213
3.00000,12.59801,0.30749,-0.80822
3.00000,11.85112,0.42460,-1.17777
1.00000,11.89744,0.37210,-0.96928
1.00000,11.84611,0.36727,-0.96206
2.00000,12.22091,0.37735,-0.96146
1.00000,12.30752,0.37607,-0.95353
9.00000,12.80678,0.41058,-1.03231
3.00000,13.68650,0.34637,-0.83762
1.00000,12.10782,0.33885,-0.88495
3.00000,12.80856,0.46290,-1.39453
2.00000,13.09746,0.24086,-0.73452
1.00000,13.03910,0.33960,-1.01705
2.00000,11.73306,0.36243,-0.96418
3.00000,11.94060,0.35043,-0.99462
3.00000,11.84343,0.33783,-0.93353
2.00000,11.86313,0.33573,-0.90876
7.00000,11.63795,0.37366,-1.00473
2.00000,12.04102,0.31725,-0.87746
2.00000,12.10678,0.31156,-0.86420
3.00000,12.46571,0.45113,-1.26260
3.00000,12.28696,0.31960,-0.84296
2.00000,12.05025,0.35118,-0.91164
1.00000,12.63649,0.45009,-1.22885
4.00000,12.33377,0.30003,-0.81813
2.00000,11.91239,0.33755,-0.90097
3.00000,12.80742,0.34523,-0.86291
3.00000,12.49997,0.33017,-0.96417
3.00000,12.38842,0.39866,-1.19330
6.00000,11.99342,0.43223,-1.25048
2.00000,11.61899,0.36998,-1.01609
1.00000,11.85928,0.40033,-1.05701
4.00000,12.23329,0.33643,-0.96928
3.00000,12.96102,0.46678,-1.33411
2.00000,12.32455,0.44953,-1.29313
2.00000,11.82299,0.37962,-1.08505
3.00000,12.25669,0.33889,-0.87564
4.00000,11.80462,0.34727,-0.92872
2.00000,11.83579,0.36089,-1.02119
7.00000,11.74596,0.37009,-1.04353
1.00000,11.82138,0.40398,-1.16477
8.00000,11.82231,0.40422,-1.16561
1.00000,11.66847,0.40204,-1.13410
3.00000,12.50378,0.29624,-0.85990
3.00000,11.67926,0.36454,-1.01260
8.00000,12.35478,0.29695,-0.84832
2.00000,12.00480,0.34514,-0.90362
1.00000,11.87609,0.42612,-1.18211
2.00000,13.03378,0.43861,-1.13318
1.00000,11.83077,0.35465,-0.99843
3.00000,13.75396,0.48211,-1.51990
1.00000,13.45923,0.47309,-1.32215
6.00000,11.78847,0.37190,-1.05481
3.00000,11.70841,0.35264,-0.96309
1.00000,12.03052,0.35876,-1.03044
3.00000,11.74510,0.38783,-1.10421
6.00000,11.69173,0.37891,-1.00827
2.00000,11.77865,0.34646,-0.95833
3.00000,11.87737,0.40426,-1.06979
1.00000,12.18690,0.43481,-1.28932
5.00000,11.95822,0.33258,-0.88934
3.00000,12.59666,0.30076,-0.87957
1.00000,12.80025,0.27174,-0.80714
1.00000,13.74165,0.26100,-0.70723
1.00000,12.47939,0.28332,-0.79818
1.00000,12.24058,0.36234,-0.92393
1.00000,12.10360,0.42302,-1.12760
6.00000,11.72646,0.41146,-1.12425
4.00000,12.68110,0.33140,-0.97654
2.00000,11.76572,0.41641,-1.14363
1.00000,12.59917,0.35472,-1.04887
3.00000,13.20171,0.41425,-1.29586
10.00000,13.55920,0.21028,-0.68548
2.00000,13.10606,0.26671,-0.81113
2.00000,12.33209,0.40173,-1.02700
6.00000,11.71274,0.35859,-0.99582
1.00000,12.81217,0.32981,-0.83418
8.00000,12.18449,0.43688,-1.29192
4.00000,12.10883,0.43341,-1.27522
2.00000,12.51391,0.34187,-1.00228
1.00000,13.66702,0.30402,-0.76564
3.00000,12.89291,0.38585,-0.95336
3.00000,13.42295,0.36543,-0.88503
3.00000,11.64507,0.37283,-1.00124
2.00000,11.72946,0.41602,-1.16555
3.00000,11.96471,0.37526,-1.08242
2.00000,12.16761,0.36422,-1.05833
4.00000,12.00905,0.39604,-1.15757
2.00000,12.01188,0.32283,-0.90121
5.00000,12.44160,0.33218,-0.96751
1.00000,12.12526,0.44102,-1.27090
1.00000,12.62364,0.44448,-1.19361
4.00000,12.37991,0.43506,-1.16247
8.00000,11.79592,0.36008,-0.95147
2.00000,11.64091,0.37111,-1.02945
3.00000,11.72455,0.36872,-1.03582
7.00000,11.70235,0.40309,-1.14414
3.00000,12.91201,0.41116,-1.26913
